7/10/29/30 Time  UsedPercent HeapAlloc HeapObjects Alloc NumGC  NumGor
7/10/29/30 48 0 1139 0 4 10
7/10/29/40 49 0 1117 0 22 11
7/10/29/50 48 0 819 0 28 11
7/10/30/0 48 0 1156 0 29 11
7/10/30/10 49 0 1092 0 30 11
7/10/30/20 49 0 1000 0 31 11
7/10/30/30 49 0 887 0 32 11
7/10/30/40 49 0 1336 0 32 11
7/10/30/50 49 0 1230 0 33 11
7/10/31/0 49 0 1184 0 34 11
7/10/31/10 49 0 1092 0 35 11
7/10/31/20 49 0 1000 0 36 11
7/10/31/30 49 0 887 0 37 11
7/10/31/40 49 0 1382 0 37 11
7/10/31/50 49 0 1276 0 38 11
7/10/32/0 49 0 1184 0 39 11
7/10/32/10 49 0 1092 0 40 11
7/10/32/20 49 0 1000 0 41 11
7/10/32/30 49 0 887 0 42 11
7/10/32/40 49 0 1382 0 42 11
