6/17/29/31 1 1 0 0 0 0
6/17/29/43 0 1 1 0 0 0
6/17/29/55 1 1 1 0 0 0
6/17/30/7 1 1 1 0 0 0
6/17/30/19 0 1 2 0 0 0
6/17/30/31 0 1 2 0 0 0
6/17/30/43 1 1 2 0 0 0
6/17/30/55 1 1 2 0 0 0
6/17/31/7 1 1 2 0 0 0
6/17/31/19 0 1 3 0 0 0
6/17/31/31 0 1 3 0 0 0
6/17/31/43 0 1 3 0 0 0
6/17/31/55 0 1 3 0 0 0
6/17/32/7 0 1 3 0 0 0
6/17/32/19 0 1 3 0 0 0
6/17/32/31 0 1 3 0 0 0
6/17/32/43 0 1 3 0 0 0
6/17/32/55 0 1 3 0 0 0
6/17/33/7 0 1 3 0 0 0
6/17/33/19 0 1 3 0 0 0
6/17/33/31 0 1 3 0 0 0
6/17/33/43 0 1 3 0 0 0
6/17/33/55 0 1 3 0 0 0
6/17/34/7 0 1 3 0 0 0
6/17/34/19 0 1 3 0 0 0
6/17/34/31 0 1 3 0 0 0
6/17/34/43 0 1 3 0 0 0
6/17/34/55 0 1 3 0 0 0
6/17/35/7 0 1 3 0 0 0
6/17/35/19 0 1 3 0 0 0
6/17/35/31 0 1 3 0 0 0
6/17/35/43 0 1 3 0 0 0
6/17/35/55 0 1 3 0 0 0
6/17/36/7 0 1 3 0 0 0
6/17/36/19 0 1 3 0 0 0
6/17/36/31 0 1 3 0 0 0
6/17/36/43 0 1 3 0 0 0
6/17/36/55 0 1 3 0 0 0
6/17/37/7 0 1 3 0 0 0
6/17/37/19 0 1 3 0 0 0
6/17/37/31 0 1 3 0 0 0
